Episode 89: Reward = 1100.00, Avg Reward (100) = 62246.27, Epsilon = 0.992, Avg Loss = 2953.0523, Max Q-Value = 103.58, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 90: Reward = 58360.14, Avg Reward (100) = 61559.23, Epsilon = 0.992, Avg Loss = 2452.4266, Max Q-Value = 113.28, Steps = 64, Reward Breakdown -> Delta_x Reward: 146193.32, Border Penalty: 8101.79, Obstacle Penalty: 15262.00
Episode 91: Reward = -100.00, Avg Reward (100) = 61523.69, Epsilon = 0.992, Avg Loss = 2698.8823, Max Q-Value = 111.88, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 92: Reward = 500.00, Avg Reward (100) = 60846.50, Epsilon = 0.992, Avg Loss = 2568.1194, Max Q-Value = 112.12, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 93: Reward = -100.00, Avg Reward (100) = 60190.56, Epsilon = 0.992, Avg Loss = 2467.2646, Max Q-Value = 112.29, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 94: Reward = 43897.61, Avg Reward (100) = 59542.28, Epsilon = 0.992, Avg Loss = 2464.4606, Max Q-Value = 116.55, Steps = 40, Reward Breakdown -> Delta_x Reward: 95297.61, Border Penalty: 2850.00, Obstacle Penalty: 8000.00
Episode 95: Reward = 18033.86, Avg Reward (100) = 59375.84, Epsilon = 0.991, Avg Loss = 2499.4673, Max Q-Value = 119.50, Steps = 20, Reward Breakdown -> Delta_x Reward: 44683.86, Border Penalty: 2100.00, Obstacle Penalty: 4000.00
Episode 96: Reward = 449350.84, Avg Reward (100) = 58940.67, Epsilon = 0.991, Avg Loss = 2402.0433, Max Q-Value = 129.33, Steps = 187, Reward Breakdown -> Delta_x Reward: 691964.41, Border Penalty: 9600.00, Obstacle Penalty: 46013.64
Episode 97: Reward = -100.00, Avg Reward (100) = 63007.44, Epsilon = 0.991, Avg Loss = 1852.5796, Max Q-Value = 148.88, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 98: Reward = 500.00, Avg Reward (100) = 62356.85, Epsilon = 0.991, Avg Loss = 2474.2759, Max Q-Value = 149.27, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 99: Reward = 5480.51, Avg Reward (100) = 61725.65, Epsilon = 0.991, Avg Loss = 2237.4996, Max Q-Value = 150.11, Steps = 8, Reward Breakdown -> Delta_x Reward: 16530.51, Border Penalty: 900.00, Obstacle Penalty: 1600.00
Episode 100: Reward = 620340.50, Avg Reward (100) = 61157.52, Epsilon = 0.991, Avg Loss = 2397.7551, Max Q-Value = 151.22, Steps = 96, Reward Breakdown -> Delta_x Reward: 751541.86, Border Penalty: 3836.87, Obstacle Penalty: 31364.34
