Episode 54: Reward = -100.00, Avg Reward (100) = 416.59, Epsilon = 0.498, Avg Loss = 356.9951, Max Q-Value = 1.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 55: Reward = -100.00, Avg Reward (100) = 407.03, Epsilon = 0.498, Avg Loss = 348.8624, Max Q-Value = 1.57, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 56: Reward = -100.00, Avg Reward (100) = 397.81, Epsilon = 0.498, Avg Loss = 372.7791, Max Q-Value = 1.54, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 57: Reward = -100.00, Avg Reward (100) = 388.92, Epsilon = 0.498, Avg Loss = 403.3739, Max Q-Value = 1.51, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 58: Reward = 1100.00, Avg Reward (100) = 380.34, Epsilon = 0.498, Avg Loss = 321.5296, Max Q-Value = 1.48, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 59: Reward = 500.00, Avg Reward (100) = 392.75, Epsilon = 0.498, Avg Loss = 356.8569, Max Q-Value = 1.40, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 60: Reward = -100.00, Avg Reward (100) = 394.57, Epsilon = 0.498, Avg Loss = 438.6705, Max Q-Value = 1.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 61: Reward = 500.00, Avg Reward (100) = 386.32, Epsilon = 0.498, Avg Loss = 344.7417, Max Q-Value = 1.31, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 62: Reward = -100.00, Avg Reward (100) = 388.19, Epsilon = 0.498, Avg Loss = 362.6561, Max Q-Value = 1.26, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 63: Reward = -100.00, Avg Reward (100) = 380.31, Epsilon = 0.497, Avg Loss = 351.9130, Max Q-Value = 1.23, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 64: Reward = -100.00, Avg Reward (100) = 372.69, Epsilon = 0.497, Avg Loss = 274.9168, Max Q-Value = 1.20, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 65: Reward = -100.00, Avg Reward (100) = 365.30, Epsilon = 0.497, Avg Loss = 404.2013, Max Q-Value = 1.17, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 66: Reward = -100.00, Avg Reward (100) = 358.15, Epsilon = 0.497, Avg Loss = 404.0565, Max Q-Value = 1.14, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 67: Reward = 9070.92, Avg Reward (100) = 351.20, Epsilon = 0.497, Avg Loss = 387.9103, Max Q-Value = 1.12, Steps = 16, Reward Breakdown -> Delta_x Reward: 30920.92, Border Penalty: 2100.00, Obstacle Penalty: 3200.00
Episode 68: Reward = 500.00, Avg Reward (100) = 481.35, Epsilon = 0.497, Avg Loss = 425.0099, Max Q-Value = 1.07, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 69: Reward = 30170.31, Avg Reward (100) = 481.62, Epsilon = 0.497, Avg Loss = 430.0712, Max Q-Value = 1.31, Steps = 30, Reward Breakdown -> Delta_x Reward: 72921.78, Border Penalty: 2469.78, Obstacle Penalty: 8003.37
Episode 70: Reward = 109413.45, Avg Reward (100) = 911.89, Epsilon = 0.497, Avg Loss = 638.2534, Max Q-Value = 1.74, Steps = 32, Reward Breakdown -> Delta_x Reward: 154322.18, Border Penalty: 373.77, Obstacle Penalty: 7876.03
Episode 71: Reward = 27951.97, Avg Reward (100) = 2461.92, Epsilon = 0.497, Avg Loss = 1040.3632, Max Q-Value = 2.62, Steps = 21, Reward Breakdown -> Delta_x Reward: 56852.84, Border Penalty: 430.75, Obstacle Penalty: 5342.42
Episode 72: Reward = 1100.00, Avg Reward (100) = 2820.93, Epsilon = 0.497, Avg Loss = 1037.5580, Max Q-Value = 2.83, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 73: Reward = 45979.79, Avg Reward (100) = 2797.03, Epsilon = 0.497, Avg Loss = 1064.9708, Max Q-Value = 3.27, Steps = 24, Reward Breakdown -> Delta_x Reward: 78228.75, Border Penalty: 572.79, Obstacle Penalty: 6251.03
Episode 74: Reward = 1100.00, Avg Reward (100) = 3388.57, Epsilon = 0.497, Avg Loss = 1057.3871, Max Q-Value = 3.67, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 75: Reward = 2300.00, Avg Reward (100) = 3357.65, Epsilon = 0.497, Avg Loss = 1136.7656, Max Q-Value = 3.83, Steps = 5, Reward Breakdown -> Delta_x Reward: 9000.00, Border Penalty: 150.00, Obstacle Penalty: 1000.00
Episode 76: Reward = 1700.00, Avg Reward (100) = 3343.55, Epsilon = 0.497, Avg Loss = 1157.0951, Max Q-Value = 3.96, Steps = 4, Reward Breakdown -> Delta_x Reward: 7200.00, Border Penalty: 150.00, Obstacle Penalty: 800.00
Episode 77: Reward = 38395.84, Avg Reward (100) = 3321.92, Epsilon = 0.497, Avg Loss = 1117.1272, Max Q-Value = 4.66, Steps = 31, Reward Breakdown -> Delta_x Reward: 79382.42, Border Penalty: 1372.68, Obstacle Penalty: 7794.60
Episode 78: Reward = 2900.00, Avg Reward (100) = 3777.43, Epsilon = 0.497, Avg Loss = 1135.8765, Max Q-Value = 5.08, Steps = 6, Reward Breakdown -> Delta_x Reward: 10800.00, Border Penalty: 150.00, Obstacle Penalty: 1200.00
